State;Year;Production (kg);Extraction_value;;
Minas Gerais;2010;276;540;;
Minas Gerais;2011;164;286;12120;
Minas Gerais;2012;87;80;8130;
Minas Gerais;2013;323;255;4140;
Minas Gerais;2014;1162;1855;3190;
Minas Gerais;2015;1213;2038;150;
Minas Gerais;2016;1090;1800;13377;
Minas Gerais;2017;1288;1991;;
Minas Gerais;2018;1535;2450;;
Minas Gerais;2019;2139;3813;;
Minas Gerais;2020;3546;11704;;64415
Minas Gerais;2021;3464;10903;;158054
Minas Gerais;2022;3478;11465;;
Minas Gerais;2023;4091;15235;;61899
Paraná;2010;2536;3275;;46664
Paraná;2011;4581;6566;;19849
Paraná;2012;5932;8902;;13513
Paraná;2013;3924;7054;;324
Paraná;2014;3582;7410;;
Paraná;2015;3220;8013;;
Paraná;2016;3183;8262;;
Paraná;2017;3596;9945;;
Paraná;2018;3373;9781;;
Paraná;2019;3290;10236;;
Paraná;2020;3671;13632;;
Paraná;2021;4018;17098;;
Paraná;2022;4089;21065;;
Paraná;2023;3990;26815;;
Rio Grande do Sul;2010;749;1096;;
Rio Grande do Sul;2011;806;1311;;
Rio Grande do Sul;2012;823;1547;;
Rio Grande do Sul;2013;828;1900;;
Rio Grande do Sul;2014;881;2387;;
Rio Grande do Sul;2015;762;2388;;
Rio Grande do Sul;2016;805;3123;;
Rio Grande do Sul;2017;947;3633;;
Rio Grande do Sul;2018;1025;3771;;
Rio Grande do Sul;2019;819;3533;;
Rio Grande do Sul;2020;846;4535;;
Rio Grande do Sul;2021;1081;5846;;
Rio Grande do Sul;2022;1088;6833;;
Rio Grande do Sul;2023;957;6336;;
Santa Catarina;2010;1799;3038;;
Santa Catarina;2011;2476;2785;;
Santa Catarina;2012;2790;3874;;
Santa Catarina;2013;3213;5709;;
Santa Catarina;2014;3147;7656;;
Santa Catarina;2015;3192;8731;;
Santa Catarina;2016;2663;9200;;
Santa Catarina;2017;3456;7638;;
Santa Catarina;2018;3621;8791;;
Santa Catarina;2019;3120;10752;;
Santa Catarina;2020;2537;11077;;
Santa Catarina;2021;3916;10521;;
Santa Catarina;2022;4665;11972;;
Santa Catarina;2023;3000;13189;;
São Paulo;2010;355;1171;;
São Paulo;2011;6;6;;
São Paulo;2012;6;17;;
São Paulo;2013;6;17;;
São Paulo;2014;6;17;;
São Paulo;2015;6;17;;
São Paulo;2016;6;20;;
São Paulo;2017;6;20;;
São Paulo;2018;6;24;;
São Paulo;2019;5;23;;
São Paulo;2020;5;35;;
São Paulo;2021;5;52;;
São Paulo;2022;57;466;;
São Paulo;2023;82;324;;
